RankinBoxOffice,TitleinBoxOffice,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
21,Ghostbusters (2016),error
23,The Legend of Tarzan,The Legend of Tarzan,2016,tt0918940,6.3,"129,910",movie,http://legendoftarzan.com/,"Adam Cozad (screenplay by)| Craig Brewer (screenplay by)| Craig Brewer (story by)| Adam Cozad (story by)| Edgar Rice Burroughs (based on the ""Tarzan"" stories created by)",110 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '36%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG-13,Lionsgate Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",44,"English, Lingala, French",Action| Adventure| Drama,David Yates,11 Oct 2016,"UK, Canada, USA","$126,585,313",1 win & 4 nominations.,Alexander Skarsgård| Rory J. Saper| Christian Stevens| Christoph Waltz
25,Bad Moms,Bad Moms,2016,tt4651520,6.2,"78,773",movie,http://stxmovies.com/badmoms/,Jon Lucas| Scott Moore,100 min,True,29 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '58%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Block Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_SX300.jpg,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",60,English,Comedy,Jon Lucas| Scott Moore,01 Nov 2016,USA,"$113,217,955",3 wins & 5 nominations.,Mila Kunis| Kathryn Hahn| Kristen Bell| Christina Applegate
27,Independence Day: Resurgence,Independence Day: Resurgence,2016,tt1628841,5.3,"138,944",movie,http://www.foxmovies.com/movies/independence-day-resurgence,Nicolas Wright (screenplay by)| James A. Woods (screenplay by)| Dean Devlin (screenplay by)| Roland Emmerich (screenplay by)| James Vanderbilt (screenplay by)| Dean Devlin (story by)| Roland Emmerich (story by)| Nicolas Wright (story by)| James A. Woods (story by)| Dean Devlin (based on characters created by)| Roland Emmerich (based on characters created by),120 min,True,24 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '30%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",32,"English, Mandarin",Action| Adventure| Sci-Fi,Roland Emmerich,18 Oct 2016,USA,"$103,137,295",2 wins & 16 nominations.,Liam Hemsworth| Jeff Goldblum| Jessie T. Usher| Bill Pullman
29,Arrival,Arrival,2016,tt2543164,8.0,"407,062",movie,http://www.arrivalmovie.com/,"Eric Heisserer (screenplay by)| Ted Chiang (based on the story ""Story of Your Life"" written by)",116 min,True,11 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '94%'}| {'Source': 'Metacritic'| 'Value': '81/100'}],PG-13,21 Laps Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,"When twelve mysterious spacecrafts appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",81,"English, Russian, Mandarin",Drama| Mystery| Sci-Fi,Denis Villeneuve,14 Feb 2017,USA,"$100,501,349",Won 1 Oscar. Another 59 wins & 244 nominations.,Amy Adams| Jeremy Renner| Forest Whitaker| Michael Stuhlbarg
31,Sausage Party,Sausage Party,2016,tt1700841,6.2,"134,603",movie,http://www.sausagepartymovie.com/site/,Kyle Hunter (screenplay by)| Ariel Shaffir (screenplay by)| Seth Rogen (screenplay by)| Evan Goldberg (screenplay by)| Seth Rogen (story by)| Evan Goldberg (story by)| Jonah Hill (story by),89 min,True,12 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '82%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],R,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjkxOTk1MzY4MF5BMl5BanBnXkFtZTgwODQzOTU5ODE@._V1_SX300.jpg,A sausage strives to discover the truth about his existence.,66,English,Animation| Adventure| Comedy,Greg Tiernan| Conrad Vernon,08 Nov 2016,USA,"$97,661,826",1 win & 24 nominations.,Alistair Abell| Iris Apatow| Sugar Lyn Beard| Michael Cera
33,Ride Along 2,Ride Along 2,2016,tt2869728,5.9,"41,035",movie,http://www.ridealong.com/,Phil Hay| Matt Manfredi| Greg Coolidge (characters),102 min,True,15 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '14%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ODAzMzcxOV5BMl5BanBnXkFtZTgwODkxMDI1NjE@._V1_SX300.jpg,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",32,English,Action| Comedy,Tim Story,26 Apr 2016,USA,N/A,1 win & 7 nominations.,Ice Cube| Kevin Hart| Tika Sumpter| Benjamin Bratt
35,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,2016,tt1935859,6.7,"119,279",movie,http://www.foxmovies.com/movies/miss-peregrines-home-for-peculiar-children,Ransom Riggs (based upon the novel written by)| Jane Goldman (screenplay by),127 min,True,30 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '63%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0Nzc5NzI5NV5BMl5BanBnXkFtZTgwNTk1MDE4MDI@._V1_SX300.jpg,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",57,English,Adventure| Drama| Family,Tim Burton,13 Dec 2016,"UK, Belgium, USA","$87,240,689",1 win & 13 nominations.,Eva Green| Asa Butterfield| Samuel L. Jackson| Judi Dench
37,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,tt3949660,6.0,"66,141",movie,http://www.teenagemutantninjaturtlesmovie.com/,Josh Appelbaum| André Nemec| Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by)| Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by),112 min,True,03 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '37%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NDQ0NTYyMV5BMl5BanBnXkFtZTgwNTIxMjY3ODE@._V1_SX300.jpg,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",40,English,Action| Adventure| Comedy,Dave Green,20 Sep 2016,"USA, Hong Kong, China, Canada","$82,035,527",10 nominations.,Megan Fox| Will Arnett| Laura Linney| Stephen Amell
39,Alice Through the Looking Glass,Alice Through the Looking Glass,2016,tt2567026,6.2,"63,741",movie,http://movies.disney.com/alice-through-the-looking-glass,Linda Woolverton (screenplay)| Lewis Carroll (books),113 min,True,27 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '30%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,34,English,Adventure| Family| Fantasy,James Bobin,18 Oct 2016,"USA, UK","$77,037,635",1 win & 18 nominations.,Johnny Depp| Mia Wasikowska| Helena Bonham Carter| Anne Hathaway
41,The Girl on the Train (2016),error
43,Storks,Storks,2016,tt4624424,6.8,"41,567",movie,http://www.storksmovie.com/,Nicholas Stoller,87 min,True,23 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '63%'}| {'Source': 'Metacritic'| 'Value': '56/100'}],PG,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjI3MzcwMF5BMl5BanBnXkFtZTgwOTIyNDY5OTE@._V1_SX300.jpg,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",56,English,Animation| Adventure| Comedy,Nicholas Stoller| Doug Sweetland,20 Dec 2016,USA,"$72,655,779",3 wins & 3 nominations.,Andy Samberg| Katie Crown| Kelsey Grammer| Jennifer Aniston
45,Lights Out,Lights Out,2016,tt4786282,6.3,"83,078",movie,http://www.lightsoutmovie.com/,Eric Heisserer (screenplay)| David F. Sandberg (based on the short film by),81 min,True,22 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '76%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,RatPac-Dune Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTkxNDgyMV5BMl5BanBnXkFtZTgwMjEzNTc0ODE@._V1_SX300.jpg,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an supernatural spirit to their mother.",58,English,Horror,David F. Sandberg,25 Oct 2016,USA,"$67,235,683",3 wins & 9 nominations.,Teresa Palmer| Gabriel Bateman| Alexander DiPersia| Billy Burke
47,The Divergent Series: Allegiant,error
49,Ice Age: Collision Course,Ice Age: Collision Course,2016,tt3416828,5.7,"39,070",movie,https://www.facebook.com/iceage,Michael J. Wilson (screenplay)| Michael Berg (screenplay)| Yoni Brenner (screenplay)| Aubrey Solomon (story),94 min,True,22 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '16%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_SX300.jpg,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",34,English,Animation| Adventure| Comedy,Mike Thurmeier| Galen T. Chu(co-director),11 Oct 2016,USA,"$64,060,187",1 win.,Stephanie Beatriz| Robert Cardone| Neil deGrasse Tyson| Adam Devine
51,London Has Fallen,London Has Fallen,2016,tt3300542,5.9,"107,731",movie,http://www.londonhasfallen.com/,Creighton Rothenberger (based on characters created by)| Katrin Benedikt (based on characters created by)| Creighton Rothenberger (story by)| Katrin Benedikt (story by)| Creighton Rothenberger (screenplay by)| Katrin Benedikt (screenplay by)| Christian Gudegast (screenplay by)| Chad St. John (screenplay by),99 min,True,04 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '25%'}| {'Source': 'Metacritic'| 'Value': '28/100'}],R,Focus Features,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1ODY2MTgwM15BMl5BanBnXkFtZTgwOTY3Nzc3NzE@._V1_SX300.jpg,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",28,"English, Italian, French, Japanese",Action| Crime| Drama,Babak Najafi,14 Jun 2016,"UK, Bulgaria, USA",N/A,1 win & 2 nominations.,Alon Aboutboul| Waleed Zuaiter| Adel Bencherif| Mehdi Dehbi
53,Deepwater Horizon,Deepwater Horizon,2016,tt1860357,7.2,"107,842",movie,http://www.deepwaterhorizon.movie/,Matthew Michael Carnahan (screenplay by)| Matthew Sand (screenplay by)| Matthew Sand (screen story)| David Barstow (article)| David Rohde (article)| Stephanie Saul (article),107 min,True,30 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '84%'}| {'Source': 'Metacritic'| 'Value': '68/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BOTEzNDU0OTgxM15BMl5BanBnXkFtZTgwNjA0ODM2OTE@._V1_SX300.jpg,"A dramatization of the disaster back in April 2010, when the offshore drilling rig called the Deepwater Horizon created a giant explosion, which created the worst oil spill in American history.",68,English,Action| Drama| Thriller,Peter Berg,10 Jan 2017,"Hong Kong, USA","$73,098,411",Nominated for 2 Oscars. Another 3 wins & 11 nominations.,Mark Wahlberg| Kurt Russell| Douglas M. Griffin| James DuMont
55,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016,tt3760922,6.0,"22,336",movie,http://www.mybigfatgreekweddingmovie.com/,Nia Vardalos,94 min,True,25 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '28%'}| {'Source': 'Metacritic'| 'Value': '37/100'}],PG-13,Gold Circle Films,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA1MjMzNDM2M15BMl5BanBnXkFtZTgwNTg3NzQ1NzE@._V1_SX300.jpg,A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,37,"English, Greek",Comedy| Family| Romance,Kirk Jones,21 Jun 2016,"USA, Canada","$52,069,651",3 nominations.,Nia Vardalos| John Corbett| Michael Constantine| Lainie Kazan
57,Fences,Fences,2016,tt2671706,7.2,"65,551",movie,http://www.fencesmovie.com/,"August Wilson (screenplay by)| August Wilson (based upon his play ""Fences"")",139 min,True,25 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '93%'}| {'Source': 'Metacritic'| 'Value': '79/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg0Nzc1NjA0MV5BMl5BanBnXkFtZTgwNTcyNDQ0MDI@._V1_SX300.jpg,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",79,English,Drama,Denzel Washington,14 Mar 2017,"USA, Canada","$57,642,961",Won 1 Oscar. Another 49 wins & 106 nominations.,Denzel Washington| Viola Davis| Stephen Henderson| Jovan Adepo
59,The BFG,The BFG,2016,tt3691740,6.4,"57,141",movie,http://movies.disney.com/the-bfg,Melissa Mathison (screenplay)| Roald Dahl (book),117 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.4/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '75%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",66,English,Adventure| Family| Fantasy,Steven Spielberg,29 Nov 2016,"USA, India","$55,472,665",4 wins & 19 nominations.,Mark Rylance| Ruby Barnhill| Penelope Wilton| Jemaine Clement
61,The Shallows,The Shallows,2016,tt4052882,6.3,"87,988",movie,http://www.theshallows-movie.com/site/,Anthony Jaswinski,86 min,True,24 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '78%'}| {'Source': 'Metacritic'| 'Value': '59/100'}],PG-13,Ombra Films,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTA4MzU4Ml5BMl5BanBnXkFtZTgwNjUxNjczODE@._V1_SX300.jpg,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",59,"English, Spanish",Drama| Horror| Thriller,Jaume Collet-Serra,27 Sep 2016,"USA, Australia, Spain","$55,121,623",13 nominations.,Blake Lively| Óscar Jaenada| Angelo Josue Lozano Corzo| Joseph Salas
63,Assassin's Creed,Assassin's Creed,2016,tt2094766,5.9,"135,950",movie,http://www.foxmovies.com/movies/assassins-creed,Michael Lesslie (screenplay by)| Adam Cooper (screenplay by)| Bill Collage (screenplay by),115 min,True,21 Dec 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '17%'}| {'Source': 'Metacritic'| 'Value': '36/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1OTczNTc1OF5BMl5BanBnXkFtZTgwMzgyMDI3MDI@._V1_SX300.jpg,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",36,"English, Spanish, Arabic",Action| Adventure| Fantasy,Justin Kurzel,21 Mar 2017,"USA, France, UK, Hong Kong, Taiwan, Malta","$54,645,723",2 wins & 1 nomination.,Michael Fassbender| Marion Cotillard| Jeremy Irons| Brendan Gleeson
65,13 Hours: The Secret Soldiers of Benghazi,error
67,Kubo and the Two Strings,Kubo and the Two Strings,2016,tt4302938,7.8,"84,686",movie,http://www.kubothemovie.com/,Marc Haimes (screenplay by)| Chris Butler (screenplay by)| Shannon Tindle (story by)| Marc Haimes (story by),101 min,True,19 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '7.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '97%'}| {'Source': 'Metacritic'| 'Value': '84/100'}],PG,Focus Features,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_SX300.jpg,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84,English,Animation| Adventure| Family,Travis Knight,22 Nov 2016,USA,"$48,019,281",Nominated for 2 Oscars. Another 30 wins & 59 nominations.,Art Parkinson| Charlize Theron| Ralph Fiennes| Brenda Vaccaro
