,rank,name,name_link,budget,studio,total_gross,total_thea,open_gross,open_thea,open_date,close_date,Title,Year,imdbID,imdbRating,imdbVotes,Type,Website,Writer,Runtime,Response,Released,Ratings,Rated,Production,Poster,Plot,Metascore,Language,Genre,Director,DVD,Country,BoxOffice,Awards,Actors
10,21,Ghostbusters (2016),http://www.boxofficemojo.com//movies/?id=ghostbusters2016.htm,$144 million,Sony,128350574,3963,46018755.0,3963.0,7/15,11/10,Ghostbusters,2016,tt1289401,5.3,"159,583",movie,http://www.ghostbusters.com/,"Katie Dippold| Paul Feig| Ivan Reitman (based on the 1984 film ""Ghostbusters"" directed by)| Dan Aykroyd (based on the 1984 film ""Ghostbusters"" written by)| Harold Ramis (based on the 1984 film ""Ghostbusters"" written by)",116 min,True,15 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '74%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],PG-13,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3OTM4NTM4NV5BMl5BanBnXkFtZTgwOTI3NDc0OTE@._V1_SX300.jpg,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",60.0,English,Action| Comedy| Fantasy,Paul Feig,11 Oct 2016,"USA, Australia","$128,344,089",5 wins & 24 nominations.,Zach Woods| Kristen Wiig| Ed Begley Jr.| Charles Dance
11,23,The Legend of Tarzan,http://www.boxofficemojo.com//movies/?id=tarzan2016.htm,$180 million,WB,126643061,3591,38527856.0,3561.0,7/1,9/15,The Legend of Tarzan,2016,tt0918940,6.3,"129,910",movie,http://legendoftarzan.com/,"Adam Cozad (screenplay by)| Craig Brewer (screenplay by)| Craig Brewer (story by)| Adam Cozad (story by)| Edgar Rice Burroughs (based on the ""Tarzan"" stories created by)",110 min,True,01 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '36%'}| {'Source': 'Metacritic'| 'Value': '44/100'}],PG-13,Lionsgate Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",44.0,"English, Lingala, French",Action| Adventure| Drama,David Yates,11 Oct 2016,"UK, Canada, USA","$126,585,313",1 win & 4 nominations.,Alexander Skarsgård| Rory J. Saper| Christian Stevens| Christoph Waltz
12,25,Bad Moms,http://www.boxofficemojo.com//movies/?id=untitledlucasmoore.htm,$20 million,STX,113257297,3215,23817340.0,3215.0,7/29,10/27,Bad Moms,2016,tt4651520,6.2,"78,773",movie,http://stxmovies.com/badmoms/,Jon Lucas| Scott Moore,100 min,True,29 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '58%'}| {'Source': 'Metacritic'| 'Value': '60/100'}],R,Block Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNzE5MTgwNl5BMl5BanBnXkFtZTgwNjM4OTA0OTE@._V1_SX300.jpg,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",60.0,English,Comedy,Jon Lucas| Scott Moore,01 Nov 2016,USA,"$113,217,955",3 wins & 5 nominations.,Mila Kunis| Kathryn Hahn| Kristen Bell| Christina Applegate
13,27,Independence Day: Resurgence,http://www.boxofficemojo.com//movies/?id=id42.htm,$165 million,Fox,103144286,4130,41039944.0,4130.0,6/24,9/15,Independence Day: Resurgence,2016,tt1628841,5.3,"138,944",movie,http://www.foxmovies.com/movies/independence-day-resurgence,Nicolas Wright (screenplay by)| James A. Woods (screenplay by)| Dean Devlin (screenplay by)| Roland Emmerich (screenplay by)| James Vanderbilt (screenplay by)| Dean Devlin (story by)| Roland Emmerich (story by)| Nicolas Wright (story by)| James A. Woods (story by)| Dean Devlin (based on characters created by)| Roland Emmerich (based on characters created by),120 min,True,24 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '30%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",32.0,"English, Mandarin",Action| Adventure| Sci-Fi,Roland Emmerich,18 Oct 2016,USA,"$103,137,295",2 wins & 16 nominations.,Liam Hemsworth| Jeff Goldblum| Jessie T. Usher| Bill Pullman
14,29,Arrival,http://www.boxofficemojo.com//movies/?id=arrival2016.htm,$47 million,Par.,100546139,3115,24074047.0,2317.0,11/11,3/9,Arrival,2016,tt2543164,8.0,"407,062",movie,http://www.arrivalmovie.com/,"Eric Heisserer (screenplay by)| Ted Chiang (based on the story ""Story of Your Life"" written by)",116 min,True,11 Nov 2016,[{'Source': 'Internet Movie Database'| 'Value': '8.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '94%'}| {'Source': 'Metacritic'| 'Value': '81/100'}],PG-13,21 Laps Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,"When twelve mysterious spacecrafts appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",81.0,"English, Russian, Mandarin",Drama| Mystery| Sci-Fi,Denis Villeneuve,14 Feb 2017,USA,"$100,501,349",Won 1 Oscar. Another 59 wins & 244 nominations.,Amy Adams| Jeremy Renner| Forest Whitaker| Michael Stuhlbarg
15,31,Sausage Party,http://www.boxofficemojo.com//movies/?id=sausageparty.htm,$19 million,Sony,97685686,3135,34263534.0,3103.0,8/12,12/22,Sausage Party,2016,tt1700841,6.2,"134,603",movie,http://www.sausagepartymovie.com/site/,Kyle Hunter (screenplay by)| Ariel Shaffir (screenplay by)| Seth Rogen (screenplay by)| Evan Goldberg (screenplay by)| Seth Rogen (story by)| Evan Goldberg (story by)| Jonah Hill (story by),89 min,True,12 Aug 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '82%'}| {'Source': 'Metacritic'| 'Value': '66/100'}],R,Sony Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjkxOTk1MzY4MF5BMl5BanBnXkFtZTgwODQzOTU5ODE@._V1_SX300.jpg,A sausage strives to discover the truth about his existence.,66.0,English,Animation| Adventure| Comedy,Greg Tiernan| Conrad Vernon,08 Nov 2016,USA,"$97,661,826",1 win & 24 nominations.,Alistair Abell| Iris Apatow| Sugar Lyn Beard| Michael Cera
16,33,Ride Along 2,http://www.boxofficemojo.com//movies/?id=ridealong2.htm,$40 million,Uni.,91221830,3192,35243095.0,3175.0,1/15,6/16,Ride Along 2,2016,tt2869728,5.9,"41,035",movie,http://www.ridealong.com/,Phil Hay| Matt Manfredi| Greg Coolidge (characters),102 min,True,15 Jan 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.9/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '14%'}| {'Source': 'Metacritic'| 'Value': '32/100'}],PG-13,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ODAzMzcxOV5BMl5BanBnXkFtZTgwODkxMDI1NjE@._V1_SX300.jpg,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",32.0,English,Action| Comedy,Tim Story,26 Apr 2016,USA,,1 win & 7 nominations.,Ice Cube| Kevin Hart| Tika Sumpter| Benjamin Bratt
17,35,Miss Peregrine's Home for Peculiar Children,http://www.boxofficemojo.com//movies/?id=peregrine.htm,$110 million,Fox,87242834,3835,28871140.0,3522.0,9/30,2/9,Miss Peregrine's Home for Peculiar Children,2016,tt1935859,6.7,"119,279",movie,http://www.foxmovies.com/movies/miss-peregrines-home-for-peculiar-children,Ransom Riggs (based upon the novel written by)| Jane Goldman (screenplay by),127 min,True,30 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '63%'}| {'Source': 'Metacritic'| 'Value': '57/100'}],PG-13,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0Nzc5NzI5NV5BMl5BanBnXkFtZTgwNTk1MDE4MDI@._V1_SX300.jpg,"When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.",57.0,English,Adventure| Drama| Family,Tim Burton,13 Dec 2016,"UK, Belgium, USA","$87,240,689",1 win & 13 nominations.,Eva Green| Asa Butterfield| Samuel L. Jackson| Judi Dench
18,37,Teenage Mutant Ninja Turtles: Out of the Shadows,http://www.boxofficemojo.com//movies/?id=tmnt2016.htm,$135 million,Par.,82051601,4071,35316382.0,4071.0,6/3,9/8,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,tt3949660,6.0,"66,141",movie,http://www.teenagemutantninjaturtlesmovie.com/,Josh Appelbaum| André Nemec| Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by)| Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by),112 min,True,03 Jun 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.0/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '37%'}| {'Source': 'Metacritic'| 'Value': '40/100'}],PG-13,Paramount Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NDQ0NTYyMV5BMl5BanBnXkFtZTgwNTIxMjY3ODE@._V1_SX300.jpg,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",40.0,English,Action| Adventure| Comedy,Dave Green,20 Sep 2016,"USA, Hong Kong, China, Canada","$82,035,527",10 nominations.,Megan Fox| Will Arnett| Laura Linney| Stephen Amell
19,39,Alice Through the Looking Glass,http://www.boxofficemojo.com//movies/?id=alice2.htm,$170 million,BV,77041381,3763,26858726.0,3763.0,5/27,9/1,Alice Through the Looking Glass,2016,tt2567026,6.2,"63,741",movie,http://movies.disney.com/alice-through-the-looking-glass,Linda Woolverton (screenplay)| Lewis Carroll (books),113 min,True,27 May 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.2/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '30%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG,Walt Disney Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,34.0,English,Adventure| Family| Fantasy,James Bobin,18 Oct 2016,"USA, UK","$77,037,635",1 win & 18 nominations.,Johnny Depp| Mia Wasikowska| Helena Bonham Carter| Anne Hathaway
20,41,The Girl on the Train (2016),http://www.boxofficemojo.com//movies/?id=thegirlonthetrain2016.htm,$45 million,Uni.,75395035,3241,24536265.0,3144.0,10/7,12/29,The Girl on the Train,2016,tt3631112,6.5,"119,299",movie,N/A,Erin Cressida Wilson (screenplay by)| Paula Hawkins (based on the novel by),112 min,True,07 Oct 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.5/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '44%'}| {'Source': 'Metacritic'| 'Value': '48/100'}],R,Universal Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,48.0,"English, Spanish",Crime| Drama| Mystery,Tate Taylor,17 Jan 2017,USA,"$75,311,445",Nominated for 1 BAFTA Film Award. Another 3 wins & 9 nominations.,Emily Blunt| Haley Bennett| Rebecca Ferguson| Justin Theroux
21,43,Storks,http://www.boxofficemojo.com//movies/?id=storks.htm,$70 million,WB,72679278,3922,21311407.0,3922.0,9/23,1/12,Storks,2016,tt4624424,6.8,"41,567",movie,http://www.storksmovie.com/,Nicholas Stoller,87 min,True,23 Sep 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.8/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '63%'}| {'Source': 'Metacritic'| 'Value': '56/100'}],PG,Warner Bros. Pictures,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjI3MzcwMF5BMl5BanBnXkFtZTgwOTIyNDY5OTE@._V1_SX300.jpg,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",56.0,English,Animation| Adventure| Comedy,Nicholas Stoller| Doug Sweetland,20 Dec 2016,USA,"$72,655,779",3 wins & 3 nominations.,Andy Samberg| Katie Crown| Kelsey Grammer| Jennifer Aniston
22,45,Lights Out,http://www.boxofficemojo.com//movies/?id=newline0116.htm,$4.9 million,WB (NL),67268835,2835,21688103.0,2818.0,7/22,9/29,Lights Out,2016,tt4786282,6.3,"83,078",movie,http://www.lightsoutmovie.com/,Eric Heisserer (screenplay)| David F. Sandberg (based on the short film by),81 min,True,22 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '6.3/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '76%'}| {'Source': 'Metacritic'| 'Value': '58/100'}],PG-13,RatPac-Dune Entertainment,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTkxNDgyMV5BMl5BanBnXkFtZTgwMjEzNTc0ODE@._V1_SX300.jpg,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an supernatural spirit to their mother.",58.0,English,Horror,David F. Sandberg,25 Oct 2016,USA,"$67,235,683",3 wins & 9 nominations.,Teresa Palmer| Gabriel Bateman| Alexander DiPersia| Billy Burke
23,47,The Divergent Series: Allegiant,http://www.boxofficemojo.com//movies/?id=allegiant.htm,,LG/S,66184051,3740,29027348.0,3740.0,3/18,6/2,Allegiant,2016,tt3410834,5.7,"78,137",movie,http://www.thedivergentseries.movie/#allegiant,Noah Oppenheim (screenplay)| Adam Cooper (screenplay)| Bill Collage (screenplay)| Veronica Roth (novel),120 min,True,18 Mar 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '13%'}| {'Source': 'Metacritic'| 'Value': '33/100'}],PG-13,Lionsgate,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk2OTc5YzQtMjAwMS00YWY4LTk1ZWItOTgyMmRkMGU4ZmY1XkEyXkFqcGdeQXVyMzQ1MzUwMTE@._V1_SX300.jpg,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",33.0,English,Action| Adventure| Mystery,Robert Schwentke,12 Jul 2016,USA,N/A,2 wins & 10 nominations.,Shailene Woodley| Theo James| Naomi Watts| Octavia Spencer
24,49,Ice Age: Collision Course,http://www.boxofficemojo.com//movies/?id=iceage5.htm,$105 million,Fox,64063008,3997,21373064.0,3992.0,7/22,11/3,Ice Age: Collision Course,2016,tt3416828,5.7,"39,070",movie,https://www.facebook.com/iceage,Michael J. Wilson (screenplay)| Michael Berg (screenplay)| Yoni Brenner (screenplay)| Aubrey Solomon (story),94 min,True,22 Jul 2016,[{'Source': 'Internet Movie Database'| 'Value': '5.7/10'}| {'Source': 'Rotten Tomatoes'| 'Value': '16%'}| {'Source': 'Metacritic'| 'Value': '34/100'}],PG,20th Century Fox,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMTk2ODc1OV5BMl5BanBnXkFtZTgwMzU4MzgzOTE@._V1_SX300.jpg,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",34.0,English,Animation| Adventure| Comedy,Mike Thurmeier| Galen T. Chu(co-director),11 Oct 2016,USA,"$64,060,187",1 win.,Stephanie Beatriz| Robert Cardone| Neil deGrasse Tyson| Adam Devine
